Plaza,Tienda,Zona,lat,lon,background_avg,best_effort_avg,video_avg,voice_avg
10QRO,50IBR,NORESTE,20.5492787,-100.408513,0,82.29,0,0
10TMP,50WIY,NORESTE,22.5559731,-98.15245999999999,0,42.67,0,0
10QRO,50QST,NORESTE,20.9152202,-100.7624403,0,42.67,0,0
10TMP,50BXH,NORESTE,22.4033963,-97.9106313,null,null,null,null
10TMP,508R4,NORESTE,22.2752428,-97.8339077,0,48,0,0
10TMP,50PHW,NORESTE,22.2464537,-97.8454218,0,48,0,0
10QRO,50K3Q,NORESTE,37.4180951010362,-122.098531723022,0,80,0,0
10QRO,50OXY,NORESTE,20.5067286,-100.4017985,0,40,0,0
10TMP,50UT9,NORESTE,22.0194528,-99.0274448,0,48,0,0
10PGS,50WOE,NORESTE,29.3248986,-100.9795068,6,5.26,0,0
10TMP,50MWF,NORESTE,22.2697893,-97.79054239999999,0,96,0,0
10PGS,50UIK,NORESTE,28.6849337,-100.5816855,0,7,0,0
10TMP,50TDF,NORESTE,22.0660863,-98.1836335,null,null,null,null
10PGS,50RVY,NORESTE,29.3227,-100.93438,0,80,0,0
10NLA,50IOO,Laredo,27.508744,-99.60458299999999,null,null,null,null
10QRO,50NZI,NORESTE,20.9645066,-100.4272173,0,80,0,0
10TMP,50QVW,NORESTE,22.2453933,-97.8636685,0,42.67,0,0
10QRO,5084V,NORESTE,20.3884,-99.9921,0,80,0,0
10NLA,50BYE,Laredo,27.4967121,-99.5072192,0,89.6,0,0
10UMR,50SGZ,Matamoros,25.8732592,-97.504414,0,89.6,0,0
10QRO,506D8,NORESTE,20.5160209,-100.7950486,0,53.33,0,0
10QRO,50QAD,NORESTE,20.5152392,-100.8300774,0,3.15,0,0
10PGS,50Q30,NORESTE,29.32940919999999,-100.975598,48,48,0,0
10QRO,505MU,NORESTE,20.5186619,-99.88445709999999,0,91.43,0,0
10TMP,50PV1,NORESTE,22.7324668,-98.3244957,0,7,0,0
10UMR,50WQN,Matamoros,23.7374003,-99.12341459999999,0,53.33,0,0
10TMP,50F4Z,NORESTE,22.2278651,-98.369264,0,89.6,0,0
10TMP,50947,NORESTE,22.7559736,-98.9690481,0,53.33,0,0
10UMR,50OSD,Matamoros,37.4180951010362,-122.098531723022,0,6.5,0,0
10TMP,50ZZM,NORESTE,22.2780232,-97.8465397,0,3.71,0,0
10QRO,50YIE,NORESTE,20.9780885,-100.4219104,0,96,96,0
10PGS,50UYN,NORESTE,28.4128075,-100.7801498,0,76.8,0,0
10QRO,50LBW,NORESTE,20.5385853,-100.3981656,0,6.86,0,0
